Customer No.,Exposure at Default,Recovery,Probability of Default,Recovered Money
1,11.5,20,0.007,2.3
2,0.24,5.1,0.0033,0.01224
3,0.04,24.86,0.0022,0.009944
4,13.81,2.29,0.0066,0.316249
5,19.84,3.47,0.002,0.688448
6,20.61,20.84,0.0002,4.295124
7,24.9,34.91,0.0089,8.69259
8,18.76,36.44,0.0059,6.836144
9,10.23,39.59,0.0026,4.050057
10,19.55,25.11,0.0008,4.909005
11,1.14,33.29,0,0.379506
12,6.4,37.34,0.0034,2.38976
13,21.45,37.22,0.0072,7.98369
14,8.17,12.91,0.005,1.054747
15,15.73,14.68,0.0056,2.309164
16,8.73,37.14,0.0059,3.242322
17,24.02,39.85,0.0029,9.57197
18,11.92,26.54,0.0064,3.163568
19,15.78,16.66,0.0041,2.628948
20,0.04,10.34,0.0043,0.004136
21,24.73,15.51,0.0046,3.835623
22,7.49,16.67,0.0004,1.248583
23,20.15,9.45,0.0041,1.904175
24,2.92,26.4,0.0041,0.77088
25,0.3,32.34,0.0039,0.09702
26,1.95,12.78,0.0016,0.24921
27,10.57,28.81,0.0063,3.045217
28,19.41,30.77,0.0099,5.972457
29,16.09,22.67,0.0022,3.647603
30,5.65,32.08,0.0067,1.81252
31,1.13,8.87,0.0068,0.100231
32,17.07,27.81,0.0089,4.747167
33,2.93,3.48,0.0041,0.101964
34,21.87,30.66,0.0045,6.705342
35,18.92,31.15,0.0007,5.89358
36,22.8,23.28,0.0048,5.30784
37,10.8,19.95,0.0042,2.1546
38,24.74,13.13,0.0037,3.248362
39,6.76,15.65,0.0074,1.05794
40,6.51,16.35,0.0004,1.064385
41,24.33,33.94,0.0036,8.257602
42,21.01,19.86,0.0078,4.172586
43,13.57,17,0.0079,2.3069
44,8.97,37.63,0.0023,3.375411
45,3.15,16.53,0.003,0.520695
46,13.56,22.41,0.0053,3.038796
47,10.71,22.36,0.0094,2.394756
48,22.29,35.08,0.0053,7.819332
49,4.64,32.95,0.0034,1.52888
50,17.47,4.95,0.0011,0.864765
51,2.72,33.41,0.0049,0.908752
52,16.88,25.82,0.0068,4.358416
53,14.49,15.06,0.0026,2.182194
54,24.87,24.81,0.0092,6.170247
55,0.07,38.55,0.0053,0.026985
56,10.16,0.63,0.0096,0.064008
57,21.21,16.14,0.0082,3.423294
58,18.04,31.02,0.0095,5.596008
59,2.16,26.35,0.0046,0.56916
60,2.16,13.67,0.0065,0.295272
61,8.76,30.03,0.0093,2.630628
62,14.57,28.67,0.005,4.177219
63,14.9,10.44,0.0076,1.55556
64,4.56,37.78,0.0075,1.722768
65,2.28,21.66,0.0004,0.493848
66,13.69,26.56,0.0061,3.636064
67,20.74,5.91,0.0061,1.225734
68,7.14,15.4,0.0032,1.09956
69,22.9,26.81,0.0071,6.13949
70,20.82,1.78,0.005,0.370596
71,14.48,14.52,0.0015,2.102496
72,6.49,38.49,0.0082,2.498001
73,9.03,36.63,0.0088,3.307689
74,4.75,0.27,0.01,0.012825
75,4.02,33.34,0.008,1.340268
76,23.17,35.19,0.0048,8.153523
77,17.36,20.99,0.0021,3.643864
78,6.49,12.11,0.0075,0.785939
79,12.87,2.07,0.0047,0.266409
80,1.79,22.74,0.0091,0.407046
81,16.23,17,0.0074,2.7591
82,15.42,22.36,0.0097,3.447912
83,22.33,30.8,0.0079,6.87764
84,16.54,34.78,0.0007,5.752612
85,1.32,0.6,0.0033,0.00792
86,1.45,37.05,0.0066,0.537225
87,4.14,2.31,0.0019,0.095634
88,13.79,27.93,0.0017,3.851547
89,19.6,16.33,0.0036,3.20068
90,3.09,7.97,0.0076,0.246273
91,24.3,20.84,0.0077,5.06412
92,6.11,33.57,0.0043,2.051127
93,3.7,33.84,0.0072,1.25208
94,6.22,34.44,0.0095,2.142168
95,13.63,7.72,0.0074,1.052236
96,12.63,30.63,0.0051,3.868569
97,3.25,16.2,0.0029,0.5265
98,21.77,22.74,0.0021,4.950498
99,20.72,19.54,0.0091,4.048688
100,15.85,35.67,0.0025,5.653695
101,10.62,28.65,0.0006,3.04263
102,23.62,13.88,0.0035,3.278456
103,15.18,9.39,0.0025,1.425402
104,3.17,22.62,0.0097,0.717054
105,18.99,28.53,0.0067,5.417847
106,3.72,16.81,0.0087,0.625332
107,23.07,11.95,0.0059,2.756865
108,19.76,39.22,0.005,7.749872
109,22.17,38.07,0.0034,8.440119
110,22.09,2.08,0.0065,0.459472
111,2.04,36.63,0.0027,0.747252
112,9.04,0.29,0.0005,0.026216
113,18.03,17.65,0.0074,3.182295
114,19.89,38.91,0.0025,7.739199
115,14.7,7.55,0.003,1.10985
116,21.6,30.81,0.0085,6.65496
117,8.79,24.57,0.003,2.159703
118,17.12,3.87,0.0085,0.662544
119,11.24,20.44,0.01,2.297456
120,24.29,19.87,0.0053,4.826423
121,2.53,2.64,0.0067,0.066792
122,9.78,10.83,0.0069,1.059174
123,9.03,25.08,0.0014,2.264724
124,21.77,0.95,0.0067,0.206815
125,17.23,9.27,0.0021,1.597221
126,21.67,5.05,0.0083,1.094335
127,23.71,14.67,0.0002,3.478257
128,9.94,32.46,0.0095,3.226524
129,23.44,10.84,0.0079,2.540896
130,4.53,27.94,0.0039,1.265682
131,7.7,36.74,0.0014,2.82898
132,18.7,2.69,0.005,0.50303
133,3.7,33.1,0.0083,1.2247
134,4.61,3.95,0.0008,0.182095
135,12.01,23.4,0.0028,2.81034
136,23.35,36.89,0.0099,8.613815
137,6.95,34.73,0.0072,2.413735
138,8.99,29.33,0.0073,2.636767
139,4.43,21,0.0063,0.9303
140,10.27,7.3,0.0041,0.74971
141,22.71,24.7,0.0067,5.60937
142,17.95,38.31,0.0006,6.876645
143,20.48,30.63,0.0039,6.273024
144,19.79,33.64,0.0042,6.657356
145,12.04,14.15,0.003,1.70366
146,6.02,28.75,0.0049,1.73075
147,21.42,20.64,0.0062,4.421088
148,6.41,35.78,0.008,2.293498
149,2.91,6.58,0.0007,0.191478
150,24.69,7.65,0.0062,1.888785
151,20.65,32.09,0.0095,6.626585
152,22.59,10.93,0.0028,2.469087
153,7.85,13.06,0.0076,1.02521
154,15.23,6.7,0.0035,1.02041
155,17.09,37.73,0.0002,6.448057
156,2.28,9.97,0.0062,0.227316
157,18.73,22.53,0.0049,4.219869
158,20.65,12.98,0.0042,2.68037
159,4.31,11.48,0.0021,0.494788
160,15.91,24.35,0.0023,3.874085
161,17.97,19.94,0.0061,3.583218
162,15.48,6.93,0.0016,1.072764
163,18.75,4.93,0.0017,0.924375
164,6.65,27.29,0.0047,1.814785
165,15.94,13.04,0.0002,2.078576
166,6.64,30.41,0,2.019224
167,17.29,35.48,0.0092,6.134492
168,21,38.65,0.0076,8.1165
169,5.07,26.56,0.0091,1.346592
170,2.62,26.87,0.0023,0.703994
171,16.14,22.56,0.0064,3.641184
172,1.96,26.5,0.003,0.5194
173,10.48,29.41,0.0076,3.082168
174,20.01,36.15,0.009,7.233615
175,7.4,26.02,0.0067,1.92548
176,23.68,30.66,0.0045,7.260288
177,4.8,36.15,0.0096,1.7352
178,7.34,39.28,0.0044,2.883152
179,21.63,24.63,0.0092,5.327469
180,6.29,4.94,0.0016,0.310726
181,15.18,15.49,0.003,2.351382
182,22.72,1.53,0.0002,0.347616
183,13.28,17.18,0.0059,2.281504
184,2.47,31.07,0.0046,0.767429
185,18.02,14.6,0.0055,2.63092
186,18.3,36.79,0.0054,6.73257
187,10.47,22.89,0.0062,2.396583
188,23.76,0.11,0.0017,0.026136
189,9.02,28.3,0.0046,2.55266
190,10.52,28.79,0.0057,3.028708
191,16.75,22.87,0.0047,3.830725
192,8.05,28.58,0.0016,2.30069
193,23.17,26.33,0.0067,6.100661
194,3.37,11.42,0.0055,0.384854
195,8.79,38.51,0.0049,3.385029
196,5.81,2.84,0.0075,0.165004
197,21.12,31.13,0.0062,6.574656
198,1.61,15.47,0.0066,0.249067
199,5.69,7.61,0.003,0.433009
200,13.74,30.89,0.0062,4.244286
201,14.14,4.67,0.0039,0.660338
202,18.39,6.44,0.0059,1.184316
203,12.38,6.97,0.001,0.862886
204,16.33,21.12,0.0009,3.448896
205,14.06,20.09,0.0044,2.824654
206,1.5,14.73,0.001,0.22095
207,19.49,20.49,0.0099,3.993501
208,11.41,12.84,0.003,1.465044
209,21.18,37.26,0.0092,7.891668
210,19.71,18.65,0.0054,3.675915
211,3.62,7.53,0.0023,0.272586
212,8.08,16.41,0.0058,1.325928
213,14.72,23.82,0.008,3.506304
214,15.17,38.68,0.0014,5.867756
215,13.1,12.87,0.007,1.68597
216,18.51,35.35,0.0097,6.543285
217,9.59,3.24,0.0012,0.310716
218,8.53,33.21,0.0017,2.832813
219,10.46,1.37,0.0064,0.143302
220,14.35,3.28,0.0093,0.47068
221,7.34,3.79,0.0042,0.278186
222,9.67,4.09,0.0059,0.395503
223,10.57,4.11,0.0079,0.434427
224,16.45,20.32,0.0078,3.34264
225,22.45,11.58,0.0081,2.59971
226,8.69,19.33,0.0089,1.679777
227,14.71,31.61,0.002,4.649831
228,11.3,34.09,0,3.85217
229,9.45,14.12,0.004,1.33434
230,19.75,38.81,0.0023,7.664975
231,9.31,34.71,0.0013,3.231501
232,1.87,37.17,0.0051,0.695079
233,6.28,13.94,0.0048,0.875432
234,23.05,27.71,0.0009,6.387155
235,17.28,17.96,0.0022,3.103488
236,2.98,35.28,0.0076,1.051344
237,0.09,33.54,0.0057,0.030186
238,2.34,27.12,0.0064,0.634608
239,7.24,25.8,0.0008,1.86792
240,14.18,28.87,0.0011,4.093766
241,19.89,27.58,0.0056,5.485662
242,4.61,30.67,0.0083,1.413887
243,22.55,19.51,0.0039,4.399505
244,14.7,34.72,0.0019,5.10384
245,9.6,5.04,0.0037,0.48384
246,1.51,27.56,0.0061,0.416156
247,22.18,17.54,0.0006,3.890372
248,19.02,34.45,0.0019,6.55239
249,0.3,35.13,0.0018,0.10539
250,2.17,2.64,0.0059,0.057288
251,20.63,36.87,0.004,7.606281
252,12.63,24.75,0.0007,3.125925
253,23.51,31.82,0.0082,7.480882
254,13.39,6.91,0.0004,0.925249
255,12.51,38.56,0.0015,4.823856
256,21.75,2.25,0.0093,0.489375
257,2.08,36.27,0.0062,0.754416
258,0.82,16.07,0.0031,0.131774
259,9.8,4.9,0.0077,0.4802
260,14.3,37.01,0.0013,5.29243
261,23.06,24.36,0.0047,5.617416
262,3.57,13.95,0.0036,0.498015
263,0.52,12.56,0.0095,0.065312
264,5.25,25.19,0.0038,1.322475
265,5.03,37.77,0.0024,1.899831
266,14.67,38.05,0.0027,5.581935
267,20.59,28.61,0.005,5.890799
268,22.42,20.89,0.0001,4.683538
269,18.79,26.9,0.001,5.05451
270,22.11,30.98,0.0043,6.849678
271,2.55,16.07,0.0081,0.409785
272,5.04,10.19,0.0026,0.513576
273,2.31,10.09,0.0093,0.233079
274,15.37,31.97,0.0004,4.913789
275,21.05,29.96,0.0013,6.30658
276,23,31.16,0.0051,7.1668
277,14.81,30.02,0.0085,4.445962
278,22.92,37.66,0.0067,8.631672
279,16.32,10,0.0076,1.632
280,20.65,25.77,0.0012,5.321505
281,6.99,15.28,0.0073,1.068072
282,12.09,8.21,0.0089,0.992589
283,18.62,1.06,0.0012,0.197372
284,9.49,20.89,0.0077,1.982461
285,10.81,0.9,0.0068,0.09729
286,3.06,2.92,0.0046,0.089352
287,7.65,11.79,0.0073,0.901935
288,18.67,33.79,0.002,6.308593
289,9.98,19.38,0.0058,1.934124
290,11.76,13.7,0.0054,1.61112
291,13.94,25.68,0.0039,3.579792
292,9.54,35.38,0.0051,3.375252
293,1.52,37.79,0.0019,0.574408
294,13.13,16.92,0.0088,2.221596
295,19.85,31.76,0.0089,6.30436
296,9.46,3.7,0.0031,0.35002
297,14.66,7.87,0.0061,1.153742
298,6.46,39.48,0.0033,2.550408
299,14.97,34.05,0.0092,5.097285
300,3.22,21.69,0.0091,0.698418
301,20.57,24.25,0.0064,4.988225
302,17.22,21.78,0.0094,3.750516
303,8.43,21.13,0.0054,1.781259
304,10.55,28.77,0.001,3.035235
305,21.27,37.56,0.0052,7.989012
306,13.69,14.89,0.0059,2.038441
307,12.25,31.68,0.0096,3.8808
308,3.38,10.36,0.0063,0.350168
309,1.66,23.75,0.0045,0.39425
310,7.41,3.09,0.0084,0.228969
311,6.07,25.04,0.0024,1.519928
312,8.11,2.37,0.0002,0.192207
313,20.6,10.27,0.0087,2.11562
314,13.4,16.68,0.0096,2.23512
315,18.16,18.82,0.006,3.417712
316,10.29,26.62,0.0013,2.739198
317,2.98,23.74,0.0025,0.707452
318,13.91,14.85,0.0059,2.065635
319,6.81,33.82,0.0003,2.303142
320,5.88,20.22,0.002,1.188936
321,14.15,33.38,0.0007,4.72327
322,24.88,32.24,0.0059,8.021312
323,12.32,12.58,0.0084,1.549856
324,3.73,4.23,0.0066,0.157779
325,5.62,5.11,0.0069,0.287182
326,18.25,0.93,0.0056,0.169725
327,6.13,22.96,0.0028,1.407448
328,13.23,10.68,0.0076,1.412964
329,19.28,30,0.0068,5.784
330,13.28,7.09,0.0063,0.941552
331,3.84,37.28,0.0048,1.431552
332,21.84,13.71,0.0092,2.994264
333,17.91,8.13,0.0082,1.456083
334,3.67,13.9,0.0085,0.51013
335,19.08,23.12,0.0002,4.411296
336,20.58,38.02,0.0065,7.824516
337,0.99,30.33,0.0092,0.300267
338,9.13,38.84,0.0033,3.546092
339,24.23,6.66,0.0099,1.613718
