,category_list,main_sector
0,3D,Manufacturing
1,3D Printing,Manufacturing
2,3D Technology,Manufacturing
6,Advanced Materials,Manufacturing
14,Agriculture,Manufacturing
33,Architecture,Manufacturing
54,Batteries,Manufacturing
77,Building Products,Manufacturing
103,Civil Engineers,Manufacturing
126,Communications Hardware,Manufacturing
127,Communications Infrastructure,Manufacturing
130,Computer Vision,Manufacturing
131,Computers,Manufacturing
135,Construction,Manufacturing
138,Consumer Electronics,Manufacturing
139,Consumer Goods,Manufacturing
183,Defense,Manufacturing
203,Displays,Manufacturing
210,DOD/Military,Manufacturing
226,Electrical Distribution,Manufacturing
228,Electronics,Manufacturing
232,Embedded Hardware and Software,Manufacturing
263,Farmers Market,Manufacturing
264,Farming,Manufacturing
282,Fmcg,Manufacturing
283,Food Processing,Manufacturing
293,Furniture,Manufacturing
294,Gadget,Manufacturing
316,Groceries,Manufacturing
320,Handmade,Manufacturing
321,Hardware,Manufacturing
322,Hardware + Software,Manufacturing
362,Industrial,Manufacturing
424,Manufacturing,Manufacturing
453,Mobile Infrastructure,Manufacturing
458,Mobile Software Tools,Manufacturing
477,New Product Development,Manufacturing
478,New Technologies,Manufacturing
500,Optical Communications,Manufacturing
630,Storage,Manufacturing
694,Adventure Travel,Automotive & Sports
700,Aerospace,Automotive & Sports
731,Auto,Automotive & Sports
732,Automated Kiosk,Automotive & Sports
733,Automotive,Automotive & Sports
743,Bicycles,Automotive & Sports
755,Boating Industry,Automotive & Sports
773,CAD,Automotive & Sports
779,Cars,Automotive & Sports
874,Design,Automotive & Sports
875,Designers,Automotive & Sports
899,Drones,Automotive & Sports
912,Electric Vehicles,Automotive & Sports
978,Fuels,Automotive & Sports
1017,Heavy Industry,Automotive & Sports
1050,Industrial Automation,Automotive & Sports
1095,Limousines,Automotive & Sports
1288,Soccer,Automotive & Sports
1312,Sporting Goods,Automotive & Sports
1313,Sports,Automotive & Sports
1338,Transportation,Automotive & Sports
1343,Unmanned Air Systems,Automotive & Sports
1389,Air Pollution Control,Cleantech / Semiconductors
1406,Aquaculture,Cleantech / Semiconductors
1434,Bio-Pharm,Cleantech / Semiconductors
1435,Biofuels,Cleantech / Semiconductors
1436,Bioinformatics,Cleantech / Semiconductors
1437,Biomass Power Generation,Cleantech / Semiconductors
1438,Biometrics,Cleantech / Semiconductors
1439,Biotechnology,Cleantech / Semiconductors
1440,Bitcoin,Cleantech / Semiconductors
1463,Carbon,Cleantech / Semiconductors
1474,Chemicals,Cleantech / Semiconductors
1479,Clean Energy,Cleantech / Semiconductors
1480,Clean Technology,Cleantech / Semiconductors
1481,Clean Technology IT,Cleantech / Semiconductors
1498,Commercial Solar,Cleantech / Semiconductors
1499,Commodities,Cleantech / Semiconductors
1506,Concentrated Solar Power,Cleantech / Semiconductors
1578,Disruptive Models,Cleantech / Semiconductors
1590,Early-Stage Technology,Cleantech / Semiconductors
1610,Energy,Cleantech / Semiconductors
1611,Energy Efficiency,Cleantech / Semiconductors
1612,Energy IT,Cleantech / Semiconductors
1613,Energy Ma0gement,Cleantech / Semiconductors
1614,Energy Storage,Cleantech / Semiconductors
1627,Environmental Innovation,Cleantech / Semiconductors
1640,Fertility,Cleantech / Semiconductors
1664,Fuel Cells,Cleantech / Semiconductors
1666,Funeral Industry,Cleantech / Semiconductors
1674,Gas,Cleantech / Semiconductors
1688,Green,Cleantech / Semiconductors
1689,Green Consumer Goods,Cleantech / Semiconductors
1709,Home & Garden,Cleantech / Semiconductors
1710,Home Automation,Cleantech / Semiconductors
1711,Home Decor,Cleantech / Semiconductors
1781,Lighting,Cleantech / Semiconductors
1805,Material Science,Cleantech / Semiconductors
1806,Mechanical Solutions,Cleantech / Semiconductors
1817,Minerals,Cleantech / Semiconductors
1818,Mining Technologies,Cleantech / Semiconductors
1844,0notechnology,Cleantech / Semiconductors
1845,0tural Language Processing,Cleantech / Semiconductors
1846,0tural Resources,Cleantech / Semiconductors
1935,Recycling,Cleantech / Semiconductors
1937,Renewable Energies,Cleantech / Semiconductors
1938,Renewable Tech,Cleantech / Semiconductors
1956,Semiconductor Manufacturing Equipment,Cleantech / Semiconductors
1957,Semiconductors,Cleantech / Semiconductors
1994,Solar,Cleantech / Semiconductors
1995,Space Travel,Cleantech / Semiconductors
2045,Waste Ma0gement,Cleantech / Semiconductors
2047,Water,Cleantech / Semiconductors
2048,Water Purification,Cleantech / Semiconductors
2049,Wearables,Cleantech / Semiconductors
2096,Art,Entertainment
2098,Artists Globally,Entertainment
2102,Audio,Entertainment
2103,Audiobooks,Entertainment
2132,Brewing,Entertainment
2145,Business Travelers,Entertainment
2154,Casual Games,Entertainment
2155,Celebrity,Entertainment
2176,Coffee,Entertainment
2183,Comics,Entertainment
2194,Concerts,Entertainment
2195,Console Gaming,Entertainment
2206,Content,Entertainment
2207,Content Creators,Entertainment
2208,Content Delivery,Entertainment
2209,Content Discovery,Entertainment
2210,Content Syndication,Entertainment
2211,Contests,Entertainment
2220,Craft Beer,Entertainment
2221,Creative,Entertainment
2222,Creative Industries,Entertainment
2256,Digital Entertainment,Entertainment
2257,Digital Media,Entertainment
2258,Digital Rights Ma0gement,Entertainment
2259,Digital Sig0ge,Entertainment
2274,E-Books,Entertainment
2278,EBooks,Entertainment
2283,Educatio0l Games,Entertainment
2284,Edutainment,Entertainment
2311,Entertainment,Entertainment
2312,Entertainment Industry,Entertainment
2316,Event Ma0gement,Entertainment
2317,Events,Entertainment
2323,Fantasy Sports,Entertainment
2326,Fashion,Entertainment
2330,Film,Entertainment
2331,Film Distribution,Entertainment
2332,Film Production,Entertainment
2349,FreetoPlay Gaming,Entertainment
2356,Gambling,Entertainment
2357,Game,Entertainment
2358,Game Mechanics,Entertainment
2359,Games,Entertainment
2360,Gamification,Entertainment
2405,Hotels,Entertainment
2416,In-Flight Entertainment,Entertainment
2419,Independent Music Labels,Entertainment
2436,Interface Design,Entertainment
2437,Interior Design,Entertainment
2450,Jewelry,Entertainment
2462,Leisure,Entertainment
2465,Lifestyle,Entertainment
2466,Lifestyle Businesses,Entertainment
2467,Lifestyle Products,Entertainment
2494,Media,Entertainment
2512,Mobile Games,Entertainment
2520,Mobile Video,Entertainment
2525,Music,Entertainment
2526,Music Education,Entertainment
2527,Music Services,Entertainment
2528,Music Venues,Entertainment
2529,Musical Instruments,Entertainment
2530,Musicians,Entertainment
2551,Online Gaming,Entertainment
2558,Online Video Advertising,Entertainment
2582,Photo Editing,Entertainment
2583,Photo Sharing,Entertainment
2584,Photography,Entertainment
2628,Resorts,Entertainment
2629,Restaurants,Entertainment
2632,Reviews and Recommendations,Entertainment
2655,Shoes,Entertainment
2656,Shopping,Entertainment
2702,Television,Entertainment
2704,Theatre,Entertainment
2706,Ticketing,Entertainment
2707,Tourism,Entertainment
2713,Travel,Entertainment
2714,Travel & Tourism,Entertainment
2725,Video,Entertainment
2726,Video Conferencing,Entertainment
2727,Video Games,Entertainment
2728,Video on Demand,Entertainment
2729,Video Streaming,Entertainment
2730,Virtual Workforces,Entertainment
2731,VoIP,Entertainment
2742,Weddings,Entertainment
2744,Wine And Spirits,Entertainment
2745,Wireless,Entertainment
2752,Active Lifestyle,Health
2767,Alter0tive Medicine,Health
2772,Animal Feed,Health
2786,Assisitive Technology,Health
2787,Assisted Living,Health
2797,Babies,Health
2798,Baby Accessories,Health
2799,Baby Boomers,Health
2800,Baby Safety,Health
2803,Beauty,Health
2836,Can0bis,Health
2849,Child Care,Health
2856,Clinical Trials,Health
2899,Cooking,Health
2902,Corporate Wellness,Health
2903,Cosmetic Surgery,Health
2904,Cosmetics,Health
2934,Dental,Health
2940,Diabetes,Health
2941,Diagnostics,Health
